상품번호,상품,구매,방법,,색 RGB(16진수) 리스트,색명(사아즈 리스트),업데이트 시간,체트 시간,체크 상태,이전 색RGB(16진수) 리스트,이전 색명(사아즈 리스트)
9174616028,https://smartstore.naver.com/magussa5/products/9174616028,us.burberry.com/suedeshearling-highland-mules-p80773791,https://m.blog.naver.com/3512979/221986222408,버버리,,,,,,,
9168903741,https://smartstore.naver.com/magussa5/products/9168903741,https://www.lacoste.com/kr/lacoste/women/%EC%8B%A0%EB%B0%9C/%EC%BA%90%EC%A3%BC%EC%96%BC/l002-%EA%B0%80%EC%A3%BD%EC%95%A4%EB%A9%94%EC%89%AC-%EC%8A%A4%EB%8B%88%EC%BB%A4%EC%A6%88/RZ0023W53N.html?color=14X,https://m.blog.naver.com/how20909/223186680351?referrerCode=1,LACOSTE(악어도형),,,,,,,
9163020066,https://smartstore.naver.com/magussa5/products/9163020066,us.burberry.com/check-mini-bowling-bag-p80713571,https://m.blog.naver.com/3512979/221986222408,버버리,,,,,,,
9154351020,https://smartstore.naver.com/magussa5/products/9154351020,https://bananarepublic.gap.com/browse/product.do?pid=5018230020000&cid=3016680&pcid=3016599&vid=1&nav=meganav%3AWomen%3AWomen%27s+Clothing%3ABest+Sellers#pdp-page-content,https://m.blog.naver.com/PostView.naver?blogId=how20909&logNo=221389972649&referrerCode=0&searchKeyword=BANANA%20REPUBLIC,BANANA REPUBLIC,,,,,,,
9151088152,https://smartstore.naver.com/magussa5/products/9151088152,https://us.burberry.com/mini-tb-bucket-bag-p80739491,https://m.blog.naver.com/3512979/221986222408,버버리,,,,,,,
9151070826,https://smartstore.naver.com/magussa5/products/9151070826,https://us.burberry.com/l/womens-trench-coats/,https://m.blog.naver.com/3512979/221986222408,버버리,,,,,,,
9147151916,https://smartstore.naver.com/magussa5/products/9147151916,crocs.co.kr/p/classic-platform-chain-clog/209022.html?cgid=women-footwear-bestsellers&cid=2Y2#start=3,_,Crocs,,,,,,,
9147134082,https://smartstore.naver.com/magussa5/products/9147134082,crocs.co.kr/p/brooklyn-flat/209384.html?cgid=women-footwear-bestsellers&cid=001#start=2,_,Crocs,,,,,,,
9147094172,https://smartstore.naver.com/magussa5/products/9147094172,crocs.co.kr/p/womens-classic-platform-clog/206750.html?cgid=women-footwear-bestsellers&cid=100,_,Crocs,,,,,,,
9141367423,https://smartstore.naver.com/magussa5/products/9141367423,https://www.lacoste.com/kr/lacoste/women/%EC%9D%98%EB%A5%98/%EB%93%9C%EB%A0%88%EC%8A%A4-%EC%8A%A4%EC%BB%A4%ED%8A%B8/%ED%85%8C%EB%8B%88%EC%8A%A4-%EC%BB%AC%EB%9F%AC%ED%8B%B0%ED%95%91-%EB%93%9C%EB%A0%88%EC%8A%A4/EF405E-53N.html?color=166,https://m.blog.naver.com/how20909/223186680351?referrerCode=1,LACOSTE(악어도형),,,,,,,
